,year,Experiment,Model,adjusted_world_tas_anom,adjusted_no_arctic_tas_anom
5859,2034,ssp245,NorESM2-MM,1.2713648728893783,1.191168175873429
5860,2035,ssp245,NorESM2-MM,1.3809697940749968,1.2899977645842113
5861,2036,ssp245,NorESM2-MM,1.4505175291582364,1.3475771146633369
5862,2037,ssp245,NorESM2-MM,1.4676020528796159,1.371204388397723
5863,2038,ssp245,NorESM2-MM,1.5262082860179766,1.4253463516666736
5864,2039,ssp245,NorESM2-MM,1.5568012624134897,1.446481277335518
5865,2040,ssp245,NorESM2-MM,1.4916382729165654,1.3901576441452579
5866,2041,ssp245,NorESM2-MM,1.432473529915413,1.3389629908055427
5867,2042,ssp245,NorESM2-MM,1.4764847250822029,1.364594383338808
5868,2043,ssp245,NorESM2-MM,1.537370395709788,1.418446983291623
5869,2044,ssp245,NorESM2-MM,1.6714012764993271,1.5353526157773663
5870,2045,ssp245,NorESM2-MM,1.7531575968908002,1.5973897650836193
5871,2046,ssp245,NorESM2-MM,1.8600887648895057,1.6937869087795927
5872,2047,ssp245,NorESM2-MM,1.9562586066660734,1.7885947538484142
5873,2048,ssp245,NorESM2-MM,2.010494587442529,1.8416814996308024
5874,2049,ssp245,NorESM2-MM,1.979340685163356,1.8219247065640356
5875,2050,ssp245,NorESM2-MM,2.0267738153893275,1.87625191927403
5876,2051,ssp245,NorESM2-MM,2.0509161882427813,1.8956273315122172
5877,2052,ssp245,NorESM2-MM,2.0428160522320633,1.8864012269157648
5878,2053,ssp245,NorESM2-MM,2.067006118461989,1.9063253490219758
5879,2054,ssp245,NorESM2-MM,2.071311765883664,1.902465561251954
5880,2055,ssp245,NorESM2-MM,1.9890231594152756,1.8242046110033523
5881,2056,ssp245,NorESM2-MM,1.971114886064624,1.8112144635481495
5882,2057,ssp245,NorESM2-MM,2.0032859936776704,1.833154662640831
5883,2058,ssp245,NorESM2-MM,2.037959896370821,1.8565397868961235
5884,2059,ssp245,NorESM2-MM,2.059414377353628,1.87937230532766
5885,2060,ssp245,NorESM2-MM,2.1292388298081217,1.9470461217954163
5886,2061,ssp245,NorESM2-MM,2.122377207756897,1.9417832027603232
5887,2062,ssp245,NorESM2-MM,2.071559128578057,1.9006933594111692
