,Unnamed: 0,arctic_trend,world_trend,AA,trend_period,Model,Experiment,Ensemble_member,Months,No_arctic_crossing_year,World_crossing_year,gap
152,0,0.1221986089728043,0.0408925423742011,2.988285928876329,2015_2065,CanESM5,ssp245,r2i1p2f1,all,2056.273,2048.004,8.269000000000233
153,0,0.1167613068661652,0.0371638672265351,3.141796470061576,2015_2065,CanESM5,ssp245,r2i1p1f1,all,2063.77,2055.873,7.8969999999999345
154,0,0.1147479995264826,0.0389653659498054,2.944871598903986,2015_2065,CanESM5,ssp245,r25i1p2f1,all,2062.486,2055.797,6.688999999999851
155,0,0.1152056491823593,0.0370815829759693,3.1068158351551034,2015_2065,CanESM5,ssp245,r25i1p1f1,all,2065.319,2054.203,11.115999999999985
156,0,0.1179963764006582,0.0374662966602229,3.1494005791592468,2015_2065,CanESM5,ssp245,r24i1p2f1,all,2062.629,2053.696,8.932999999999993
157,0,0.1140520554130973,0.0385979556180854,2.9548729611901265,2015_2065,CanESM5,ssp245,r24i1p1f1,all,2058.96,2050.609,8.351000000000113
158,0,0.132780204248249,0.0398933468477965,3.328379660769999,2015_2065,CanESM5,ssp245,r23i1p2f1,all,2059.421,2051.709,7.711999999999989
159,0,0.1239348553740823,0.037585522367015,3.297409416420595,2015_2065,CanESM5,ssp245,r23i1p1f1,all,2068.086,2056.369,11.716999999999643
160,0,0.1258659559493885,0.0392723128227731,3.2049539969136127,2015_2065,CanESM5,ssp245,r22i1p2f1,all,2073.549,2054.064,19.485000000000127
161,0,0.1095093300827946,0.0391170214723678,2.7995314050215097,2015_2065,CanESM5,ssp245,r22i1p1f1,all,2065.984,2054.535,11.44900000000007
162,0,0.1283378787443582,0.0401764599706449,3.194355073546268,2015_2065,CanESM5,ssp245,r21i1p2f1,all,2062.75,2054.082,8.66800000000012
163,0,0.1259912450503599,0.0385003056619124,3.2724738903826576,2015_2065,CanESM5,ssp245,r21i1p1f1,all,2063.078,2051.233,11.8449999999998
164,0,0.1386952869329421,0.0398775780351597,3.4780268453278587,2015_2065,CanESM5,ssp245,r20i1p2f1,all,2061.112,2053.859,7.253000000000156
165,0,0.1060224640569508,0.0392549517467378,2.700868536050649,2015_2065,CanESM5,ssp245,r20i1p1f1,all,2057.867,2050.56,7.307000000000244
166,0,0.1233630750725119,0.0383664931001658,3.2153857468922187,2015_2065,CanESM5,ssp245,r1i1p2f1,all,2065.374,2051.66,13.713999999999942
